Nom;taux_distribution;minimum_souscription;localisation;secteurs;prix_part;capitalisation;Gerant;frais_souscription;frais_gestion;delai_jouissance;frequence_loyers;valeur_reconstitution;iban;bic
Transitions Europe;8.16;5000;Pays-bas,47,Espagne,24,Irlande,12,Pologne,11,Allemagne,6;Bureaux,46,Hotels,18,Logistique,9,Sante,18,Commerce,9;200,200,200;289000000;Arkea REIM;10;10;5;Trimestrielle;205.37,208.35,199.95;FR76 12345 67890 12345678901 12;ABCDFRPP
Elevation Tertiom;8;2850;France,100;Autre,100;190;;Elevation Capital Partners;0;24;4;Mensuelle;190;FR76 23456 78901 23456789012 34;EFGHFRXX
Upéka;8;1000;Pays-bas,56,Espagne,25,France,19;Commerces,44,Bureaux,29,Logistique,27;200;22000000;Axipit;0;16;4;Trimestrielle;192;FR76 34567 89012 34567890123 56;IJKLFRZZ
Comète;8;5000;Italie,44,Pays-bas,44,Espagne,12;Autre,56,Bureaux,44;250;49200000;;10;11;5;Trimestrielle;250;FR76 45678 90123 45678901234 78;MNOPFRYY
Remake Live;7.79;1020;France,37,Espagne,20,Allemagne,43;Bureaux,50.46,Logistique,16.9,Sante,15.63,Commerces,12.73,Reste,4.29;204;521000000;Remake;0;18;3;Mensuelle;203.8;FR76 56789 01234 56789012345 90;QRSTFRAA
Iroko Zen;7.12;5000;France,45,Espagne,13,Pays-Bas,11,Irlande,18,Allemagane,11,Gde Bretagne,2;Bureau,32,Locaux,23,Sante,8,Commerces,27,Logistique,10;202;6294000000;Iroko;0;14.4;3;Mensuelle;202;FR76 67890 12345 67890123456 01;UVWXFRBB
Osmo Energie;7;300;France,100;Commerces,100;300;21000000;Mata Capital;12;10.8;5;Mensuelle;300;FR76 78901 23456 78901234567 23;YZABFRCC
Sofidynamic;7;900;France,100;Autre,100;300;;Sofidy;12;12;5;Trimestrielle;300;FR76 89012 34567 89012345678 45;CDEFFRDD
Wemo One;7;1000;France,85,Espagne,15;Commerces,55,Bureaux,45;200;7000000;Wemo Reim;10;11;6;Trimestrielle;200;FR76 90123 45678 90123456789 67;GHIJFREE
Novaxia NEO;6.51;187;France,56,Pays-Bas,29,Irlande,7,Espagne,6,Allemagne,2;Bureaux,95,Hotel,2,Locaux,2,Autre,1;187;42300000;Novaxia Investissement;0;18;3;Mensuelle;188.23,186.19,193.21,193.83;FR76 01234 56789 01234567890 89;KLMNFRFF
Epargne Pierre Europe;6.26;6000;Espagne,78,Pays-Bas,22;Commerces,37,Bureaux,21,Locaux,42;200;161000000;Atland Voisin;10;12;5;Trimestrielle;202.66,204.09;FR76 13579 24680 12345678901 12;OPQRFRAA
Epsilon 360;6.25;1008;France,100;Commerces,49,Autre,28,Bureaux,14,Locaux,9;252;108000000;Epsicap REIM;5.75;12;4;Mensuelle;272.65,273.92,272.55,254.85,254.84;FR76 24680 13579 23456789012 34;STUVFRXX
Log In;6.21;1000;Espagne,38,Gde Bretagne,29,Italie,24,Allemagne,9;Locaux,67,Logistique,33;250;136000000;Theoreim;10;12;5;Trimestrielle;259.69,257.54,254.37,251;FR76 98765 43210 34567890123 56;WXYZFRZZ
Coeur de Regions;6.2;2656;France,100;Bureaux,50,Commerces,29,Locaux,20,Autre,1;664;356000000;Sogenial;12;12;5;Trimestrielle;683.32,680,691.75,685.31,650.24,654.92;FR76 54321 67890 45678901234 78;ABCDFRYY
EDR Europa;6;5000;Pays-bas,100;Logistique,100;200;13400000;EDR REIM;10;10.5;5;Trimestrielle;200;FR76 67890 54321 56789012345 90;EFGHFRAA
Mistral Selection;6;180;France,100;Commerces,100;180;;SwissLife;0;16.5;4;Trimestrielle;180;FR76 89012 67890 67890123456 01;IJKLFRBB
Coeur d'Europe;5.93,6,10.5;2000;Allemagne,6.3,Belgique,30.4,Espagne,40.4,Portugal,22.9;Commerces,46,Locaux d'activite,21,Bureaux,27,Logistique,6;200,200,200,200;134000000;Sogenial;12;10;5;Trimestrielle;212.52,213.41,210.69,210,69;FR76 12345 78901 78901234567 23;MNOPFRCC
Paref Evo;5.80,5.37,4.60;2500;Pologne,100;Bureaux,90,Locaux,10;250,250,250,250,250;43700000;Paref Gestion;10;13.2;5;Trimestrielle;249.98,253.98,247,247,243;FR76 23456 89012 89012345678 45;QRSTFRDD
Altixia Cadence XII;5.60,5.50;2000;France,96.35,Irlande,3.65;Locaux d'activite,41,Bureaux,29,Commerces,25,Logistique,5;200,200,200,200,200,200,200;180000000;Altixia REIM;9;12;5;Mensuelle;199.82,208.62,208.27,208.27,203.69,207.86,204.94;FR76 34567 90123 90123456789 67;UVWXFREE
Activimmo;5.52,5.60,6.02,6.05;6100;France,84,Italie,3,Espagne,12,Irlande,1;Logistique,58,Locaux d'activite,33,Transport,8,Autres,1;610,610,610,610,610,610;1220000000;Alderan;10.6;12;5;Trimestrielle;600.88,600.88,612.24,626.46,629,619.25;FR76 45678 01234 01234567890 89;YZABFRFF
Paref Hexa;5.51,4.40,5.20,4.71,5.5;1050;France,100;Bureaux,67,Locaux d'activite,22,Logistique,6,Autres,5;210,210,210,210,210,210,210;245000000;Paref Gestion;10;9.6;0;Trimestrielle;199.22,200.37,218.21,212.8,210.6,215.20,211.20,210;FR76 56789 12345 12345678901 12;CDEFFRAA
Coeur d'Avenir;5.5;2000;France,100;Commerces,100;200;5200000;Sogenial;10;10;5;Trimestrielle;200;FR76 67890 23456 23456789012 34;GHIJFRXX
Foncière des Praticiens;5.40,5.10,5.10,5.10;1100;France,95,Espagne,2,Portugal,3;Sante,100;1100,1100,1100,1100,1100,1100;157300000;Foncière Magellan;8;10.2;6;Trimestrielle;1104.27,1102.93,1131.73,1190.16,1173.19,1104.75;FR76 78901 34567 34567890123 56;KLMNFRZZ
Altixia Commerces;5.31,5.34,5.21;2030;France,100;Commerces,96,Bureaux,4;203,203,203,200,200,200,200;108800000;Altixia REIM;2.5;18;5;Trimestrielle;208.54,213.16,211.52,214.39,208.93,212.22,205.54;FR76 89012 45678 45678901234 78;OPQRFRYY
Logipierre 3;5.31,5.31;8000;France,100;Hotels,95,Commerces,5;1600,1600,1600,1600,1600,1456,1368;76400000;Fiducial Gerance;10;9.6;1;Trimestrielle;1648.98 ,1658.61,1699.63,1681.92,1663.02,1688.07,1617.02;FR76 90123 56789 56789012345 90;STUVFRAA
Atream Hotels;5.30,5.05,2.64,2.81,5.17,4.71;5000;France,27,Allemagne,30,Belgique,26,Pays-Bas,26;Hotels,69,Autre,31;1000,1000,1000,1000,1000,1000,1000;286000000;Atream;10;12;3;Trimestrielle;1047.77,1072,1052.85,1052.85,1006.95,1057.40,1043.36;FR76 01234 67890 67890123456 01;WXYZFRBB
Coeur de Ville;5.30,5.30,5.30,5.30,5.31,5.12,5.5;2100;France,100;Commerces,96,Autre,4;210,210,210,206,206;26700000;Sogenial;12;9.6;3;Trimestrielle;220.14,216,218.90,218.90,213.31;FR76 13579 86420 12345678901 12;ABCDFRAA
Epargne Pierre;5.28,5.28,5.36,5.36;2080;France,100;Bureaux,52,Commerces,29,Logistique,8,Hotels,5,Restant,6;208,208,208,208,205,205;2600000000;Atland Voisin;10;12;5;Trimestrielle;220.26,220.99,224.04,220.38,219.04,212.17;FR76 24680 97531 23456789012 34;EFGHFRXX
Kyaneos Pierre;5.28,5.37,5.94,6.10;2220;France,100;Residentiel,88,Bureaux,12;222,220,216,216,212;359000000;Kyaneos AM;11.8;8;5;Trimestrielle;229.99,230.81,231.52,224.71,227.29;FR76 98765 01234 34567890123 56;IJKLFRZZ
Pierval Sante;5.10,5.35,5.33,4.95;1020;France,30.28,GdeBretagne,24.80,Allemagne,14.34,PaysBas,12.95,Italie,2.56,Portugal,2.22,Espagne,1.31;Sante,91,Bureaux,9;204,204,200,200,200,200,200,200;3200000000;Euryale AM;10.51;8.4;4;Trimestrielle;199.14,199.95,207.70,210.31,210.31,211.59,209.42,207.73;FR76 54321 67890 45678901234 78;MNOPFRAA
Eurovalys;5.04,4.57,4.74,4.50,4.57,4.50,4.50,4.50;9600;Allemagne,100;Bureaux,87,Commerces,7,Autre,6;960,1030,1030,1030,1015,1015,1000,1000;950000000;Advenis REIM;11.4;12;5;Trimestrielle;972.39,1054.94,1105.13,1105.13,1080.91,1060.84,1039.10,1056.42;FR76 67890 54321 56789012345 90;QRSTFRAA
Sofiboutique;5.02,4.39,3.59,2.95;3200;France,95.20,Belgique,4.80;Commerces,99,Residentiel,1;320,320,320,305,305,305;103800000;Sofidy;10;12;2;Trimestrielle;309.18,328.05,328.21,331.61,324.43,302.78;FR76 89012 67890 67890123456 01;UVWXFRBB
Urban Coeur Commerce;5.02,4.30,3.40;3000;France,100;Commerces,100;300,300,300,300,300;59000000;Urban Premium;12;12;3;Trimestrielle;310.20,314.52,312.23,312.36,301.58;FR76 12345 78901 78901234567 23;YZABFRCC
Placement Pierre;5.01,5.01,5.01,4.77,4.99,4.76,4.76,5.74;3500;France,100;Bureaux,77,Commerces,15,H?tel,4,Sante,2,Locaux d'activite,2;350,350,350,350,350,350,345;380000000;Aestiam;10;7.2;1;Mensuelle;349.80,363.37,365.40,365.40,365.16,367.13,351.16;FR76 23456 89012 89012345678 45;CDEFFRDD
Cristal Rente;5,5.04,5.05,5.06,5.27,5.05;256;France,85,Espagne,8,Irland,4,Pays-Bas,3;Commerces,91,Autre,9;250,250,250,247.33,232.32,222;649000000;Inter-Gestion;12;13.2;5;Trimestrielle;269.90,272.260,253.53,223.21,222.83,200.76;FR76 34567 90123 90123456789 67;GHIJFREE
Immorente;5,4.82,4.64,4.42,4.70,4.77;1360;France,80,Allemagne,5,Gde Bretagne,15;Commerces,53,Bureaux,38,Autres,9;340,340,340,340,330;3400000;Sofidy;10;12;0;Trimestrielle;322.29,339.92,341.68,335.13,335.42;FR76 45678 01234 01234567890 89;KLMNFRFF
Ncap Continent;6.59;2100;Espagne,100;Commerces,49,Bureaux,34,Locaux d'activite,17;210.21;27800000;Norma Capital;10;14.4;5;Trimestrielle;201.52;FR76 56789 12345 12345678901 12;OPQRFRAA
Paref Prima;4.84,4.80,4.84,4.51,4.45,5,4.71;1360;Allemagne,100;Commerces,100;272,280,280,260;937900000;Paref Gestion;10;12.48;5;Trimestrielle;260.32,277.18,296.66,277;FR76 67890 23456 23456789012 34;STUVFRXX
NCap Education Sante;4.72,4.72,4.71,4.51,2.19;1010;France,90,Espagne,10;Sante,76,Autres,24;202,202,200,200,200,200;94300000;Norma Capital;10;12;5;Trimestrielle;202.18,205.18,208.17,215.39,205.69,179.78;FR76 78901 34567 34567890123 56;WXYZFRZZ
Sofidy Europe Invest;4.71,4.65;2350;Allemagne,28,Espagne,22,Gde Bretagne,4,Pays-Bas,23,Irland,19,Belgique,4;Bureaux,56,Hotels,19,Commerces,15,Logistique,10;235,235,235,235;348000000;Sofidy;9;14.4;3;Mensuelle;220.86,220.86,226.88,230.36;FR76 89012 45678 45678901234 78;ABCDFRYY
Efimmo 1;4.65,4.98,4.91;2120;France,75,Gde Bretagne,4,Belgique,21;Bureaux,79,Commerces,11,Autre,11;212,212,237,237,230;1750000000;Sofidy;10;12;0;Trimestrielle;213.18,213.18,241.43,242.02,236.01;FR76 90123 56789 56789012345 90;EFGHFRAA
Ficommerce;4.61,4.57,4.14,4.13;2100;France,98,Allemagne,2;Commerces,84,Bureaux,15,Locaux d'activite,1;210,210,230,230,228;604300000;Fiducial Gerance;10;11.16;1;Trimestrielle;215.62,227.89,231.99,232.63,234.10;FR76 01234 67890 67890123456 01;IJKLFRBB
Novapierre 1;4.50,4.80,4.21,4.45;2210;France,100;Commerces,100;442,442,440,440,430;181300000;Paref Gestion;8;9.6;1;Trimestrielle;447.52,469.10,489.17,482,430;FR76 11111 22222 12345678901 12;ABCDEFFF
Pierre Rendement;4.50,4.45,4.64;922;France,93,Allemagne,7;Commerces,68,Hotels,21,Bureaux,8,Sante,3;922,960,950;400000000;Aestiam;9;12;0;Trimestrielle;962.55,996.18,959.44;FR76 22222 33333 23456789012 34;EFGHIJKL
Primovie;4.50,4.60,4.51,5.01,5.51;9250;France,65,Italie,12,Belgique,1,Allemagne,22;Sante,82,Bureaux,16,Hotels,2;185,203,203,203,191,191;4700000000;Primonial REIM;8.25;12;5;Trimestrielle;176.54,176.54,202.79,202.21,191.64,190.66;FR76 33333 44444 34567890123 56;IJKLMNOP
Buroboutic;3.34,4.31,4.08,4.27,4.42;2300;France,100;Commerces,49,Bureaux,33,Locaux d'activite,18;230,230,267,267,267;320400000;Fiducial Gerance;10;10.8;2;Trimestrielle;239.96,246.15,256.02,259.06,257.16;FR76 44444 55555 45678901234 78;MNOPQRST
Primopierre;4.21,4.77,5.92,5.52;8400;France,100;Bureaux,98,Commerces,2;168,180,208,208,196;3400000000;PrimonialREIM;4.76;12;3;Mensuelle;154.44,186.03,219.61,225.32,202.04;FR76 55555 66666 56789012345 90;QRSTUVWX
Selectipierre2;4.05,4.04,4.03,4.07;7730;France,100;Bureaux,66,Residentiel,5,Locaux d'activite,29;773,773,765,742,702;475000000;FiducialGerance;10;10.2;2;Trimestrielle;811.57,830.03,848.75,848.75,795.18;FR76 66666 77777 67890123456 01;UVWXYZAB
Cap'HebergImmo;4.01,4.71,4.75,4.99,4.80,4.80;3780;France,60,Belgique,26,Espagne,9,Allemagne,5;Hotels,74,Autre,26;252,252,250,265;82000000;Aestiam;10;10.8;1;Trimestrielle;251.24,274,271.50,252.04;FR76 77777 88888 78901234567 23;CDEFGHII
Primofamily;3.3,3.3;10200;France,70,Autres,8,Belgique,3,Irlande,15,Espagne,5;Hotels,51,Residentiel,39,Commerces,10;204,204,204,197,194;252000000;Primonial REIM;9;12;3;Trimestrielle;213.17,212.24,218.53,218.53,203.35;FR76 88888 99999 89012345678 45;GHIJKLMN
GMA Essentialis;3.01,5.52;1030;Allemagne,72,France,28;Commerces,100;206,206,200;37000000;Greenman Arth;10;14.4;5;Trimestrielle;211.48,211.48,215.88;FR76 99999 00000 90123456789 67;OPQRSTUV
Novapierre Residentiel;2.26,2.13,2.02,1.94,0.78,2.28;8320;France,100;Residentiel,100;1664,1555;350800000;Paref Gestion;9.95;9.6;1;Trimestrielle;1630.89,1727;FR76 00000 11111 01234567890 89;XYZABCDF